Date,Level,COVID_ICU
2020-07-03,Angelina,8
2020-07-04,Angelina,1
2020-07-05,Angelina,0
2020-07-06,Angelina,16
2020-07-07,Angelina,4
2020-07-08,Angelina,16
2020-07-09,Angelina,21
2020-07-10,Angelina,15
2020-07-11,Angelina,6
2020-07-12,Angelina,6
2020-07-13,Angelina,5
2020-07-14,Angelina,13
2020-07-15,Angelina,16
2020-07-16,Angelina,15
2020-07-17,Angelina,16
2020-07-18,Angelina,15
2020-07-19,Angelina,16
2020-07-20,Angelina,18
2020-07-21,Angelina,12
2020-07-22,Angelina,21
2020-07-23,Angelina,27
2020-07-24,Angelina,27
2020-07-25,Angelina,10
2020-07-26,Angelina,37
2020-07-27,Angelina,2
2020-07-28,Angelina,14
2020-07-29,Angelina,19
2020-07-30,Angelina,15
2020-07-31,Angelina,5
2020-08-01,Angelina,12
2020-08-02,Angelina,17
2020-08-03,Angelina,17
2020-08-04,Angelina,17
2020-08-05,Angelina,15
2020-08-06,Angelina,13
2020-08-07,Angelina,4
2020-08-08,Angelina,14
2020-08-09,Angelina,14
2020-08-10,Angelina,16
2020-08-11,Angelina,3
2020-08-12,Angelina,12
2020-08-13,Angelina,14
2020-08-14,Angelina,14
2020-08-15,Angelina,15
2020-08-16,Angelina,14
2020-08-17,Angelina,29
2020-08-18,Angelina,5
2020-08-19,Angelina,11
2020-08-20,Angelina,14
2020-08-21,Angelina,11
2020-08-22,Angelina,13
2020-08-23,Angelina,5
2020-08-24,Angelina,11
2020-08-25,Angelina,6
2020-08-26,Angelina,13
2020-08-27,Angelina,12
2020-08-28,Angelina,12
2020-08-29,Angelina,6
2020-08-30,Angelina,12
2020-08-31,Angelina,13
2020-09-01,Angelina,13
2020-09-02,Angelina,16
2020-09-03,Angelina,14
2020-09-04,Angelina,19
2020-09-05,Angelina,16
2020-09-06,Angelina,14
2020-09-07,Angelina,8
2020-09-08,Angelina,14
2020-09-09,Angelina,11
2020-09-10,Angelina,11
2020-09-11,Angelina,8
2020-09-12,Angelina,6
2020-09-13,Angelina,7
2020-09-14,Angelina,10
2020-09-15,Angelina,8
2020-09-16,Angelina,5
2020-09-17,Angelina,11
2020-09-18,Angelina,4
2020-09-19,Angelina,8
2020-09-20,Angelina,18
2020-09-21,Angelina,16
2020-09-22,Angelina,17
2020-09-23,Angelina,14
2020-09-24,Angelina,14
2020-09-25,Angelina,9
2020-09-26,Angelina,11
2020-09-27,Angelina,5
2020-09-28,Angelina,9
2020-09-29,Angelina,8
2020-09-30,Angelina,9
2020-10-01,Angelina,6
2020-10-02,Angelina,11
2020-10-03,Angelina,7
2020-10-04,Angelina,20
2020-10-05,Angelina,5
2020-10-06,Angelina,5
2020-10-07,Angelina,6
2020-10-08,Angelina,6
2020-10-09,Angelina,4
2020-10-10,Angelina,3
2020-10-11,Angelina,3
2020-10-12,Angelina,3
2020-10-13,Angelina,4
2020-10-14,Angelina,5
2020-10-15,Angelina,5
2020-10-16,Angelina,4
2020-10-17,Angelina,3
2020-10-18,Angelina,3
2020-10-19,Angelina,3
2020-10-20,Angelina,3
2020-10-21,Angelina,2
2020-10-22,Angelina,2
2020-10-23,Angelina,2
2020-10-24,Angelina,2
2020-10-25,Angelina,2
2020-10-26,Angelina,2
2020-10-27,Angelina,2
2020-10-28,Angelina,2
2020-10-29,Angelina,2
2020-10-30,Angelina,3
2020-10-31,Angelina,3
2020-11-01,Angelina,3
2020-11-02,Angelina,11
2020-11-03,Angelina,8
2020-11-04,Angelina,4
2020-11-05,Angelina,4
2020-11-06,Angelina,4
2020-11-07,Angelina,4
2020-11-08,Angelina,4
2020-11-09,Angelina,7
2020-11-10,Angelina,8
2020-11-11,Angelina,4
2020-11-12,Angelina,7
2020-11-13,Angelina,7
2020-11-14,Angelina,7
2020-11-15,Angelina,8
2020-11-16,Angelina,7
2020-11-17,Angelina,3
2020-11-18,Angelina,11
2020-11-19,Angelina,8
2020-11-20,Angelina,8
2020-11-21,Angelina,11
2020-11-22,Angelina,14
2020-11-23,Angelina,6
2020-11-24,Angelina,12
2020-11-25,Angelina,14
2020-11-26,Angelina,13
2020-11-27,Angelina,14
2020-11-28,Angelina,15
2020-11-29,Angelina,15
2020-11-30,Angelina,15
2020-12-01,Angelina,16
2020-12-02,Angelina,17
2020-12-03,Angelina,14
2020-12-04,Angelina,17
2020-12-05,Angelina,17
2020-12-06,Angelina,14
2020-12-07,Angelina,7
2020-12-08,Angelina,16
2020-12-09,Angelina,17
2020-12-10,Angelina,13
2020-12-11,Angelina,15
2020-12-12,Angelina,16
2020-12-13,Angelina,17
2020-12-14,Angelina,13
2020-12-15,Angelina,20
2020-12-16,Angelina,17
2020-12-17,Angelina,13
2020-12-18,Angelina,14
2020-12-19,Angelina,13
2020-12-20,Angelina,14
2020-12-21,Angelina,19
2020-12-22,Angelina,16
2020-12-23,Angelina,13
2020-12-24,Angelina,15
2020-12-25,Angelina,17
2020-12-26,Angelina,12
2020-12-27,Angelina,12
2020-12-28,Angelina,16
2020-12-29,Angelina,18
2020-12-30,Angelina,18
2020-12-31,Angelina,18
2021-01-01,Angelina,17
2021-01-02,Angelina,17
2021-01-03,Angelina,16
2021-01-04,Angelina,11
2021-01-05,Angelina,24
2021-01-06,Angelina,14
2021-01-07,Angelina,15
2021-01-08,Angelina,14
2021-01-09,Angelina,12
2021-01-10,Angelina,16
2021-01-11,Angelina,16
2021-01-12,Angelina,9
2021-01-13,Angelina,15
2020-04-01,Brazoria,1
2020-04-02,Brazoria,1
2020-04-03,Brazoria,6
2020-04-04,Brazoria,4
2020-04-05,Brazoria,4
2020-04-06,Brazoria,7
2020-04-07,Brazoria,4
2020-04-08,Brazoria,4
2020-04-09,Brazoria,5
2020-04-10,Brazoria,5
2020-04-11,Brazoria,4
2020-04-12,Brazoria,4
2020-04-13,Brazoria,7
2020-04-14,Brazoria,8
2020-04-15,Brazoria,4
2020-04-16,Brazoria,4
2020-04-17,Brazoria,5
2020-04-18,Brazoria,4
2020-04-19,Brazoria,3
2020-04-20,Brazoria,4
2020-04-21,Brazoria,5
2020-04-22,Brazoria,3
2020-04-23,Brazoria,4
2020-04-24,Brazoria,5
2020-04-25,Brazoria,2
2020-04-26,Brazoria,7
2020-04-27,Brazoria,4
2020-04-28,Brazoria,2
2020-04-29,Brazoria,2
2020-04-30,Brazoria,2
2020-05-01,Brazoria,0
2020-05-02,Brazoria,2
2020-05-03,Brazoria,2
2020-05-04,Brazoria,1
2020-05-05,Brazoria,0
2020-05-06,Brazoria,2
2020-05-07,Brazoria,2
2020-05-08,Brazoria,1
2020-05-09,Brazoria,2
2020-05-10,Brazoria,4
2020-05-11,Brazoria,2
2020-05-12,Brazoria,0
2020-05-13,Brazoria,0
2020-05-14,Brazoria,3
2020-05-15,Brazoria,5
2020-05-16,Brazoria,3
2020-05-17,Brazoria,6
2020-05-18,Brazoria,5
2020-05-19,Brazoria,8
2020-05-20,Brazoria,7
2020-05-21,Brazoria,7
2020-05-22,Brazoria,0
2020-05-23,Brazoria,5
2020-05-24,Brazoria,6
2020-05-25,Brazoria,5
2020-05-26,Brazoria,5
2020-05-27,Brazoria,1
2020-05-28,Brazoria,7
2020-05-29,Brazoria,5
2020-05-30,Brazoria,6
2020-05-31,Brazoria,6
2020-06-01,Brazoria,8
2020-06-02,Brazoria,8
2020-06-03,Brazoria,7
2020-06-04,Brazoria,6
2020-06-05,Brazoria,6
2020-06-06,Brazoria,7
2020-06-07,Brazoria,5
2020-06-08,Brazoria,11
2020-06-09,Brazoria,6
2020-06-10,Brazoria,9
2020-06-11,Brazoria,7
2020-06-12,Brazoria,8
2020-06-13,Brazoria,8
2020-06-14,Brazoria,6
2020-06-15,Brazoria,5
2020-06-16,Brazoria,6
2020-06-17,Brazoria,7
2020-06-18,Brazoria,4
2020-06-19,Brazoria,7
2020-06-20,Brazoria,8
2020-06-21,Brazoria,22
2020-06-22,Brazoria,8
2020-06-23,Brazoria,11
2020-06-24,Brazoria,8
2020-06-25,Brazoria,12
2020-06-26,Brazoria,14
2020-06-27,Brazoria,16
2020-06-28,Brazoria,20
2020-06-29,Brazoria,18
2020-06-30,Brazoria,13
2020-07-01,Brazoria,15
2020-07-02,Brazoria,15
2020-07-03,Brazoria,11
2020-07-04,Brazoria,22
2020-07-05,Brazoria,26
2020-07-06,Brazoria,17
2020-07-07,Brazoria,27
2020-07-08,Brazoria,25
2020-07-09,Brazoria,18
2020-07-10,Brazoria,17
2020-07-11,Brazoria,24
2020-07-12,Brazoria,23
2020-07-13,Brazoria,16
2020-07-14,Brazoria,17
2020-07-15,Brazoria,17
2020-07-16,Brazoria,16
2020-07-17,Brazoria,14
2020-07-18,Brazoria,16
2020-07-19,Brazoria,27
2020-07-20,Brazoria,19
2020-07-21,Brazoria,23
2020-07-22,Brazoria,18
2020-07-23,Brazoria,21
2020-07-24,Brazoria,21
2020-07-25,Brazoria,27
2020-07-26,Brazoria,22
2020-07-27,Brazoria,19
2020-07-28,Brazoria,20
2020-07-29,Brazoria,19
2020-07-30,Brazoria,15
2020-07-31,Brazoria,20
2020-08-01,Brazoria,21
2020-08-02,Brazoria,30
2020-08-03,Brazoria,23
2020-08-04,Brazoria,21
2020-08-05,Brazoria,16
2020-08-06,Brazoria,15
2020-08-07,Brazoria,14
2020-08-08,Brazoria,18
2020-08-09,Brazoria,13
2020-08-10,Brazoria,13
2020-08-11,Brazoria,20
2020-08-12,Brazoria,12
2020-08-13,Brazoria,20
2020-08-14,Brazoria,20
2020-08-15,Brazoria,22
2020-08-16,Brazoria,14
2020-08-17,Brazoria,14
2020-08-18,Brazoria,16
2020-08-19,Brazoria,12
2020-08-20,Brazoria,15
2020-08-21,Brazoria,12
2020-08-22,Brazoria,17
2020-08-23,Brazoria,15
2020-08-24,Brazoria,12
2020-08-25,Brazoria,15
2020-08-26,Brazoria,14
2020-08-27,Brazoria,12
2020-08-28,Brazoria,13
2020-08-29,Brazoria,11
2020-08-30,Brazoria,13
2020-08-31,Brazoria,10
2020-09-01,Brazoria,12
2020-09-02,Brazoria,14
2020-09-03,Brazoria,7
2020-09-04,Brazoria,10
2020-09-05,Brazoria,9
2020-09-06,Brazoria,8
2020-09-07,Brazoria,7
2020-09-08,Brazoria,9
2020-09-09,Brazoria,7
2020-09-10,Brazoria,6
2020-09-11,Brazoria,7
2020-09-12,Brazoria,10
2020-09-13,Brazoria,14
2020-09-14,Brazoria,13
2020-09-15,Brazoria,8
2020-09-16,Brazoria,8
2020-09-17,Brazoria,8
2020-09-18,Brazoria,8
2020-09-19,Brazoria,9
2020-09-20,Brazoria,10
2020-09-21,Brazoria,9
2020-09-22,Brazoria,8
2020-09-23,Brazoria,6
2020-09-24,Brazoria,12
2020-09-25,Brazoria,13
2020-09-26,Brazoria,10
2020-09-27,Brazoria,12
2020-09-28,Brazoria,11
2020-09-29,Brazoria,9
2020-09-30,Brazoria,8
2020-10-01,Brazoria,7
2020-10-02,Brazoria,5
2020-10-03,Brazoria,5
2020-10-04,Brazoria,6
2020-10-05,Brazoria,6
2020-10-06,Brazoria,7
2020-10-07,Brazoria,7
2020-10-08,Brazoria,8
2020-10-09,Brazoria,6
2020-10-10,Brazoria,6
2020-10-11,Brazoria,4
2020-10-12,Brazoria,3
2020-10-13,Brazoria,5
2020-10-14,Brazoria,6
2020-10-15,Brazoria,4
2020-10-16,Brazoria,5
2020-10-17,Brazoria,5
2020-10-18,Brazoria,6
2020-10-19,Brazoria,7
2020-10-20,Brazoria,8
2020-10-21,Brazoria,11
2020-10-22,Brazoria,8
2020-10-23,Brazoria,12
2020-10-24,Brazoria,12
2020-10-25,Brazoria,15
2020-10-26,Brazoria,16
2020-10-27,Brazoria,9
2020-10-28,Brazoria,7
2020-10-29,Brazoria,8
2020-10-30,Brazoria,6
2020-10-31,Brazoria,7
2020-11-01,Brazoria,6
2020-11-02,Brazoria,4
2020-11-03,Brazoria,5
2020-11-04,Brazoria,6
2020-11-05,Brazoria,6
2020-11-06,Brazoria,9
2020-11-07,Brazoria,8
2020-11-08,Brazoria,7
2020-11-09,Brazoria,16
2020-11-10,Brazoria,13
2020-11-11,Brazoria,9
2020-11-12,Brazoria,10
2020-11-13,Brazoria,12
2020-11-14,Brazoria,10
2020-11-15,Brazoria,14
2020-11-16,Brazoria,11
2020-11-17,Brazoria,6
2020-11-18,Brazoria,8
2020-11-19,Brazoria,11
2020-11-20,Brazoria,6
2020-11-21,Brazoria,12
2020-11-22,Brazoria,6
2020-11-23,Brazoria,9
2020-11-24,Brazoria,9
2020-11-25,Brazoria,7
2020-11-26,Brazoria,9
2020-11-27,Brazoria,13
2020-11-28,Brazoria,11
2020-11-29,Brazoria,12
2020-11-30,Brazoria,11
2020-12-01,Brazoria,13
2020-12-02,Brazoria,11
2020-12-03,Brazoria,14
2020-12-04,Brazoria,13
2020-12-05,Brazoria,13
2020-12-06,Brazoria,7
2020-12-07,Brazoria,14
2020-12-08,Brazoria,15
2020-12-09,Brazoria,15
2020-12-10,Brazoria,13
2020-12-11,Brazoria,15
2020-12-12,Brazoria,17
2020-12-13,Brazoria,17
2020-12-14,Brazoria,15
2020-12-15,Brazoria,16
2020-12-16,Brazoria,17
2020-12-17,Brazoria,12
2020-12-18,Brazoria,13
2020-12-19,Brazoria,14
2020-12-20,Brazoria,12
2020-12-21,Brazoria,13
2020-12-22,Brazoria,12
2020-12-23,Brazoria,15
2020-12-24,Brazoria,18
2020-12-25,Brazoria,16
2020-12-26,Brazoria,17
2020-12-27,Brazoria,16
2020-12-28,Brazoria,14
2020-12-29,Brazoria,16
2020-12-30,Brazoria,19
2020-12-31,Brazoria,16
2021-01-01,Brazoria,22
2021-01-02,Brazoria,19
2021-01-03,Brazoria,19
2021-01-04,Brazoria,22
2021-01-05,Brazoria,22
2021-01-06,Brazoria,23
2021-01-07,Brazoria,25
2021-01-08,Brazoria,22
2021-01-09,Brazoria,25
2021-01-10,Brazoria,24
2021-01-11,Brazoria,22
2021-01-12,Brazoria,18
2021-01-13,Brazoria,20
2020-04-01,Fort Bend,5
2020-04-02,Fort Bend,5
2020-04-03,Fort Bend,16
2020-04-04,Fort Bend,38
2020-04-05,Fort Bend,40
2020-04-06,Fort Bend,15
2020-04-07,Fort Bend,20
2020-04-08,Fort Bend,33
2020-04-09,Fort Bend,20
2020-04-10,Fort Bend,65
2020-04-11,Fort Bend,17
2020-04-12,Fort Bend,22
2020-04-13,Fort Bend,55
2020-04-14,Fort Bend,17
2020-04-15,Fort Bend,28
2020-04-16,Fort Bend,24
2020-04-17,Fort Bend,27
2020-04-18,Fort Bend,36
2020-04-19,Fort Bend,23
2020-04-20,Fort Bend,22
2020-04-21,Fort Bend,20
2020-04-22,Fort Bend,23
2020-04-23,Fort Bend,10
2020-04-24,Fort Bend,11
2020-04-25,Fort Bend,13
2020-04-26,Fort Bend,10
2020-04-27,Fort Bend,14
2020-04-28,Fort Bend,16
2020-04-29,Fort Bend,10
2020-04-30,Fort Bend,14
2020-05-01,Fort Bend,12
2020-05-02,Fort Bend,6
2020-05-03,Fort Bend,18
2020-05-04,Fort Bend,17
2020-05-05,Fort Bend,17
2020-05-06,Fort Bend,17
2020-05-07,Fort Bend,17
2020-05-08,Fort Bend,14
2020-05-09,Fort Bend,16
2020-05-10,Fort Bend,12
2020-05-11,Fort Bend,14
2020-05-12,Fort Bend,8
2020-05-13,Fort Bend,11
2020-05-14,Fort Bend,9
2020-05-15,Fort Bend,11
2020-05-16,Fort Bend,8
2020-05-17,Fort Bend,8
2020-05-18,Fort Bend,11
2020-05-19,Fort Bend,15
2020-05-20,Fort Bend,14
2020-05-21,Fort Bend,11
2020-05-22,Fort Bend,7
2020-05-23,Fort Bend,5
2020-05-24,Fort Bend,8
2020-05-25,Fort Bend,7
2020-05-26,Fort Bend,11
2020-05-27,Fort Bend,15
2020-05-28,Fort Bend,11
2020-05-29,Fort Bend,12
2020-05-30,Fort Bend,12
2020-05-31,Fort Bend,18
2020-06-01,Fort Bend,19
2020-06-02,Fort Bend,21
2020-06-03,Fort Bend,22
2020-06-04,Fort Bend,12
2020-06-05,Fort Bend,24
2020-06-06,Fort Bend,12
2020-06-07,Fort Bend,14
2020-06-08,Fort Bend,14
2020-06-09,Fort Bend,17
2020-06-10,Fort Bend,13
2020-06-11,Fort Bend,13
2020-06-12,Fort Bend,11
2020-06-13,Fort Bend,12
2020-06-14,Fort Bend,16
2020-06-15,Fort Bend,12
2020-06-16,Fort Bend,17
2020-06-17,Fort Bend,15
2020-06-18,Fort Bend,22
2020-06-19,Fort Bend,20
2020-06-20,Fort Bend,29
2020-06-21,Fort Bend,29
2020-06-22,Fort Bend,27
2020-06-23,Fort Bend,32
2020-06-24,Fort Bend,39
2020-06-25,Fort Bend,42
2020-06-26,Fort Bend,43
2020-06-27,Fort Bend,50
2020-06-28,Fort Bend,55
2020-06-29,Fort Bend,56
2020-06-30,Fort Bend,43
2020-07-01,Fort Bend,51
2020-07-02,Fort Bend,55
2020-07-03,Fort Bend,46
2020-07-04,Fort Bend,60
2020-07-05,Fort Bend,55
2020-07-06,Fort Bend,49
2020-07-07,Fort Bend,45
2020-07-08,Fort Bend,55
2020-07-09,Fort Bend,52
2020-07-10,Fort Bend,57
2020-07-11,Fort Bend,58
2020-07-12,Fort Bend,66
2020-07-13,Fort Bend,64
2020-07-14,Fort Bend,66
2020-07-15,Fort Bend,63
2020-07-16,Fort Bend,73
2020-07-17,Fort Bend,71
2020-07-18,Fort Bend,69
2020-07-19,Fort Bend,73
2020-07-20,Fort Bend,67
2020-07-21,Fort Bend,70
2020-07-22,Fort Bend,68
2020-07-23,Fort Bend,64
2020-07-24,Fort Bend,63
2020-07-25,Fort Bend,59
2020-07-26,Fort Bend,60
2020-07-27,Fort Bend,62
2020-07-28,Fort Bend,63
2020-07-29,Fort Bend,52
2020-07-30,Fort Bend,51
2020-07-31,Fort Bend,44
2020-08-01,Fort Bend,40
2020-08-02,Fort Bend,33
2020-08-03,Fort Bend,39
2020-08-04,Fort Bend,46
2020-08-05,Fort Bend,41
2020-08-06,Fort Bend,43
2020-08-07,Fort Bend,45
2020-08-08,Fort Bend,35
2020-08-09,Fort Bend,32
2020-08-10,Fort Bend,28
2020-08-11,Fort Bend,25
2020-08-12,Fort Bend,37
2020-08-13,Fort Bend,36
2020-08-14,Fort Bend,28
2020-08-15,Fort Bend,27
2020-08-16,Fort Bend,34
2020-08-17,Fort Bend,37
2020-08-18,Fort Bend,31
2020-08-19,Fort Bend,24
2020-08-20,Fort Bend,18
2020-08-21,Fort Bend,23
2020-08-22,Fort Bend,20
2020-08-23,Fort Bend,25
2020-08-24,Fort Bend,20
2020-08-25,Fort Bend,21
2020-08-26,Fort Bend,21
2020-08-27,Fort Bend,20
2020-08-28,Fort Bend,21
2020-08-29,Fort Bend,18
2020-08-30,Fort Bend,17
2020-08-31,Fort Bend,16
2020-09-01,Fort Bend,19
2020-09-02,Fort Bend,18
2020-09-03,Fort Bend,20
2020-09-04,Fort Bend,19
2020-09-05,Fort Bend,10
2020-09-06,Fort Bend,16
2020-09-07,Fort Bend,15
2020-09-08,Fort Bend,8
2020-09-09,Fort Bend,12
2020-09-10,Fort Bend,6
2020-09-11,Fort Bend,6
2020-09-12,Fort Bend,7
2020-09-13,Fort Bend,6
2020-09-14,Fort Bend,11
2020-09-15,Fort Bend,7
2020-09-16,Fort Bend,7
2020-09-17,Fort Bend,6
2020-09-18,Fort Bend,4
2020-09-19,Fort Bend,8
2020-09-20,Fort Bend,6
2020-09-21,Fort Bend,7
2020-09-22,Fort Bend,7
2020-09-23,Fort Bend,13
2020-09-24,Fort Bend,7
2020-09-25,Fort Bend,8
2020-09-26,Fort Bend,7
2020-09-27,Fort Bend,6
2020-09-28,Fort Bend,5
2020-09-29,Fort Bend,11
2020-09-30,Fort Bend,11
2020-10-01,Fort Bend,7
2020-10-02,Fort Bend,5
2020-10-03,Fort Bend,4
2020-10-04,Fort Bend,4
2020-10-05,Fort Bend,5
2020-10-06,Fort Bend,14
2020-10-07,Fort Bend,7
2020-10-08,Fort Bend,9
2020-10-09,Fort Bend,9
2020-10-10,Fort Bend,9
2020-10-11,Fort Bend,10
2020-10-12,Fort Bend,9
2020-10-13,Fort Bend,7
2020-10-14,Fort Bend,15
2020-10-15,Fort Bend,12
2020-10-16,Fort Bend,10
2020-10-17,Fort Bend,6
2020-10-18,Fort Bend,7
2020-10-19,Fort Bend,11
2020-10-20,Fort Bend,9
2020-10-21,Fort Bend,10
2020-10-22,Fort Bend,5
2020-10-23,Fort Bend,6
2020-10-24,Fort Bend,12
2020-10-25,Fort Bend,10
2020-10-26,Fort Bend,9
2020-10-27,Fort Bend,7
2020-10-28,Fort Bend,10
2020-10-29,Fort Bend,8
2020-10-30,Fort Bend,13
2020-10-31,Fort Bend,12
2020-11-01,Fort Bend,13
2020-11-02,Fort Bend,18
2020-11-03,Fort Bend,13
2020-11-04,Fort Bend,13
2020-11-05,Fort Bend,14
2020-11-06,Fort Bend,15
2020-11-07,Fort Bend,16
2020-11-08,Fort Bend,15
2020-11-09,Fort Bend,15
2020-11-10,Fort Bend,18
2020-11-11,Fort Bend,19
2020-11-12,Fort Bend,20
2020-11-13,Fort Bend,26
2020-11-14,Fort Bend,18
2020-11-15,Fort Bend,22
2020-11-16,Fort Bend,20
2020-11-17,Fort Bend,16
2020-11-18,Fort Bend,20
2020-11-19,Fort Bend,11
2020-11-20,Fort Bend,25
2020-11-21,Fort Bend,27
2020-11-22,Fort Bend,18
2020-11-23,Fort Bend,18
2020-11-24,Fort Bend,21
2020-11-25,Fort Bend,26
2020-11-26,Fort Bend,19
2020-11-27,Fort Bend,21
2020-11-28,Fort Bend,22
2020-11-29,Fort Bend,20
2020-11-30,Fort Bend,24
2020-12-01,Fort Bend,20
2020-12-02,Fort Bend,33
2020-12-03,Fort Bend,25
2020-12-04,Fort Bend,32
2020-12-05,Fort Bend,34
2020-12-06,Fort Bend,33
2020-12-07,Fort Bend,30
2020-12-08,Fort Bend,29
2020-12-09,Fort Bend,35
2020-12-10,Fort Bend,30
2020-12-11,Fort Bend,38
2020-12-12,Fort Bend,28
2020-12-13,Fort Bend,29
2020-12-14,Fort Bend,35
2020-12-15,Fort Bend,33
2020-12-16,Fort Bend,37
2020-12-17,Fort Bend,33
2020-12-18,Fort Bend,30
2020-12-19,Fort Bend,26
2020-12-20,Fort Bend,26
2020-12-21,Fort Bend,26
2020-12-22,Fort Bend,28
2020-12-23,Fort Bend,30
2020-12-24,Fort Bend,28
2020-12-25,Fort Bend,36
2020-12-26,Fort Bend,30
2020-12-27,Fort Bend,32
2020-12-28,Fort Bend,24
2020-12-29,Fort Bend,30
2020-12-30,Fort Bend,37
2020-12-31,Fort Bend,31
2021-01-01,Fort Bend,31
2021-01-02,Fort Bend,34
2021-01-03,Fort Bend,37
2021-01-04,Fort Bend,40
2021-01-05,Fort Bend,37
2021-01-06,Fort Bend,30
2021-01-07,Fort Bend,43
2021-01-08,Fort Bend,37
2021-01-09,Fort Bend,40
2021-01-10,Fort Bend,45
2021-01-11,Fort Bend,43
2021-01-12,Fort Bend,49
2021-01-13,Fort Bend,48
2020-04-01,Harris,73
2020-04-02,Harris,57
2020-04-03,Harris,229
2020-04-04,Harris,232
2020-04-05,Harris,233
2020-04-06,Harris,222
2020-04-07,Harris,281
2020-04-08,Harris,274
2020-04-09,Harris,306
2020-04-10,Harris,252
2020-04-11,Harris,255
2020-04-12,Harris,178
2020-04-13,Harris,278
2020-04-14,Harris,307
2020-04-15,Harris,265
2020-04-16,Harris,285
2020-04-17,Harris,185
2020-04-18,Harris,296
2020-04-19,Harris,261
2020-04-20,Harris,259
2020-04-21,Harris,245
2020-04-22,Harris,237
2020-04-23,Harris,243
2020-04-24,Harris,241
2020-04-25,Harris,243
2020-04-26,Harris,262
2020-04-27,Harris,247
2020-04-28,Harris,232
2020-04-29,Harris,233
2020-04-30,Harris,246
2020-05-01,Harris,221
2020-05-02,Harris,174
2020-05-03,Harris,229
2020-05-04,Harris,221
2020-05-05,Harris,220
2020-05-06,Harris,211
2020-05-07,Harris,214
2020-05-08,Harris,213
2020-05-09,Harris,228
2020-05-10,Harris,194
2020-05-11,Harris,224
2020-05-12,Harris,209
2020-05-13,Harris,229
2020-05-14,Harris,196
2020-05-15,Harris,199
2020-05-16,Harris,196
2020-05-17,Harris,204
2020-05-18,Harris,232
2020-05-19,Harris,236
2020-05-20,Harris,254
2020-05-21,Harris,252
2020-05-22,Harris,219
2020-05-23,Harris,235
2020-05-24,Harris,213
2020-05-25,Harris,216
2020-05-26,Harris,199
2020-05-27,Harris,219
2020-05-28,Harris,250
2020-05-29,Harris,214
2020-05-30,Harris,216
2020-05-31,Harris,214
2020-06-01,Harris,249
2020-06-02,Harris,250
2020-06-03,Harris,244
2020-06-04,Harris,259
2020-06-05,Harris,229
2020-06-06,Harris,240
2020-06-07,Harris,235
2020-06-08,Harris,236
2020-06-09,Harris,272
2020-06-10,Harris,242
2020-06-11,Harris,254
2020-06-12,Harris,248
2020-06-13,Harris,232
2020-06-14,Harris,274
2020-06-15,Harris,261
2020-06-16,Harris,315
